trait_type	phenocode	description	pheno_sex	n_cases_full_cohort_both_sexes
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3727
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2624
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1843
categorical	20002	Non-cancer illness code, self-reported	both_sexes	172
categorical	20002	Non-cancer illness code, self-reported	both_sexes	203
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1220
categorical	20002	Non-cancer illness code, self-reported	both_sexes	286
categorical	20002	Non-cancer illness code, self-reported	both_sexes	283
categorical	20002	Non-cancer illness code, self-reported	both_sexes	201
categorical	20002	Non-cancer illness code, self-reported	both_sexes	147
categorical	20002	Non-cancer illness code, self-reported	both_sexes	143
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1740
categorical	20002	Non-cancer illness code, self-reported	both_sexes	131
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3674
categorical	20002	Non-cancer illness code, self-reported	both_sexes	116
categorical	20002	Non-cancer illness code, self-reported	both_sexes	163
categorical	20002	Non-cancer illness code, self-reported	both_sexes	300
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2163
categorical	20002	Non-cancer illness code, self-reported	both_sexes	483
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1147
categorical	20002	Non-cancer illness code, self-reported	both_sexes	389
categorical	20002	Non-cancer illness code, self-reported	both_sexes	707
categorical	20002	Non-cancer illness code, self-reported	both_sexes	111
categorical	20002	Non-cancer illness code, self-reported	both_sexes	366
categorical	20002	Non-cancer illness code, self-reported	both_sexes	11152
categorical	20002	Non-cancer illness code, self-reported	both_sexes	4898
categorical	20002	Non-cancer illness code, self-reported	both_sexes	664
categorical	20002	Non-cancer illness code, self-reported	both_sexes	132
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1827
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1709
categorical	20002	Non-cancer illness code, self-reported	both_sexes	4781
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1089
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1267
categorical	20002	Non-cancer illness code, self-reported	both_sexes	159
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1275
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2267
categorical	20002	Non-cancer illness code, self-reported	both_sexes	4916
categorical	20002	Non-cancer illness code, self-reported	both_sexes	36526
categorical	20002	Non-cancer illness code, self-reported	both_sexes	6109
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2615
categorical	20002	Non-cancer illness code, self-reported	both_sexes	130
categorical	20002	Non-cancer illness code, self-reported	both_sexes	285
categorical	20002	Non-cancer illness code, self-reported	both_sexes	325
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3240
categorical	20002	Non-cancer illness code, self-reported	both_sexes	179
categorical	20002	Non-cancer illness code, self-reported	both_sexes	54681
categorical	20002	Non-cancer illness code, self-reported	both_sexes	9966
categorical	20002	Non-cancer illness code, self-reported	both_sexes	4116
categorical	20002	Non-cancer illness code, self-reported	both_sexes	811
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3044
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1258
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1882
categorical	20002	Non-cancer illness code, self-reported	both_sexes	638
categorical	20002	Non-cancer illness code, self-reported	both_sexes	201
categorical	20002	Non-cancer illness code, self-reported	both_sexes	129
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1510
categorical	20002	Non-cancer illness code, self-reported	both_sexes	198
categorical	20002	Non-cancer illness code, self-reported	both_sexes	174
categorical	20002	Non-cancer illness code, self-reported	both_sexes	204
categorical	20002	Non-cancer illness code, self-reported	both_sexes	480
categorical	20002	Non-cancer illness code, self-reported	both_sexes	117
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3611
categorical	20002	Non-cancer illness code, self-reported	both_sexes	201
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1154
categorical	20002	Non-cancer illness code, self-reported	both_sexes	355
categorical	20002	Non-cancer illness code, self-reported	both_sexes	109
categorical	20002	Non-cancer illness code, self-reported	both_sexes	536
categorical	20002	Non-cancer illness code, self-reported	both_sexes	269
categorical	20002	Non-cancer illness code, self-reported	both_sexes	352
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1710
categorical	20002	Non-cancer illness code, self-reported	both_sexes	335
categorical	20002	Non-cancer illness code, self-reported	both_sexes	172
categorical	20002	Non-cancer illness code, self-reported	both_sexes	117
categorical	20002	Non-cancer illness code, self-reported	both_sexes	285
categorical	20002	Non-cancer illness code, self-reported	both_sexes	245
categorical	20002	Non-cancer illness code, self-reported	both_sexes	603
categorical	20002	Non-cancer illness code, self-reported	both_sexes	179
categorical	20002	Non-cancer illness code, self-reported	both_sexes	363
categorical	20002	Non-cancer illness code, self-reported	both_sexes	749
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2475
categorical	20002	Non-cancer illness code, self-reported	both_sexes	266
categorical	20002	Non-cancer illness code, self-reported	both_sexes	127
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1532
categorical	20002	Non-cancer illness code, self-reported	both_sexes	3456
categorical	20002	Non-cancer illness code, self-reported	both_sexes	154
categorical	20002	Non-cancer illness code, self-reported	both_sexes	697
categorical	20002	Non-cancer illness code, self-reported	both_sexes	618
categorical	20002	Non-cancer illness code, self-reported	both_sexes	292
categorical	20002	Non-cancer illness code, self-reported	both_sexes	364
categorical	20002	Non-cancer illness code, self-reported	both_sexes	246
categorical	20002	Non-cancer illness code, self-reported	both_sexes	164
categorical	20002	Non-cancer illness code, self-reported	both_sexes	130
categorical	20002	Non-cancer illness code, self-reported	both_sexes	437
categorical	20002	Non-cancer illness code, self-reported	both_sexes	160
categorical	20002	Non-cancer illness code, self-reported	both_sexes	243
categorical	20002	Non-cancer illness code, self-reported	both_sexes	522
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1412
categorical	20002	Non-cancer illness code, self-reported	both_sexes	889
categorical	20002	Non-cancer illness code, self-reported	both_sexes	500
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1632
categorical	20002	Non-cancer illness code, self-reported	both_sexes	448
categorical	20002	Non-cancer illness code, self-reported	both_sexes	361
categorical	20002	Non-cancer illness code, self-reported	both_sexes	156
categorical	20002	Non-cancer illness code, self-reported	both_sexes	149
categorical	20002	Non-cancer illness code, self-reported	both_sexes	113
categorical	20002	Non-cancer illness code, self-reported	both_sexes	713
categorical	20002	Non-cancer illness code, self-reported	both_sexes	2964
categorical	20002	Non-cancer illness code, self-reported	both_sexes	314
categorical	20002	Non-cancer illness code, self-reported	both_sexes	167
categorical	20002	Non-cancer illness code, self-reported	both_sexes	142
categorical	20002	Non-cancer illness code, self-reported	both_sexes	120
categorical	20002	Non-cancer illness code, self-reported	both_sexes	122
categorical	20002	Non-cancer illness code, self-reported	both_sexes	399
categorical	20002	Non-cancer illness code, self-reported	both_sexes	135
categorical	20002	Non-cancer illness code, self-reported	both_sexes	474
categorical	20002	Non-cancer illness code, self-reported	both_sexes	389
categorical	20002	Non-cancer illness code, self-reported	both_sexes	1015
categorical	20002	Non-cancer illness code, self-reported	both_sexes	230
categorical	20002	Non-cancer illness code, self-reported	both_sexes	115
categorical	20002	Non-cancer illness code, self-reported	both_sexes	234
categorical	20002	Non-cancer illness code, self-reported	both_sexes	260
categorical	20002	Non-cancer illness code, self-reported	both_sexes	289
categorical	20002	Non-cancer illness code, self-reported	both_sexes	177
categorical	20002	Non-cancer illness code, self-reported	both_sexes	549
categorical	20002	Non-cancer illness code, self-reported	both_sexes	163
categorical	20002	Non-cancer illness code, self-reported	both_sexes	446
categorical	20002	Non-cancer illness code, self-reported	both_sexes	220
categorical	20002	Non-cancer illness code, self-reported	both_sexes	867
categorical	20002	Non-cancer illness code, self-reported	both_sexes	878
categorical	20002	Non-cancer illness code, self-reported	both_sexes	187
categorical	20002	Non-cancer illness code, self-reported	both_sexes	133
categorical	20002	Non-cancer illness code, self-reported	both_sexes	961
categorical	20002	Non-cancer illness code, self-reported	both_sexes	213
categorical	20002	Non-cancer illness code, self-reported	both_sexes	432
categorical	20002	Non-cancer illness code, self-reported	both_sexes	106
categorical	20002	Non-cancer illness code, self-reported	both_sexes	393
categorical	20002	Non-cancer illness code, self-reported	both_sexes	297
categorical	20002	Non-cancer illness code, self-reported	both_sexes	167
