pgs_id	name	trait	n_variants	ftp_scoring_file
PGS002397	blood_EOSINOPHIL_COUNT.P+T.0.0001	Eosinophil count	15667	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002397/ScoringFiles/PGS002397.txt.gz
PGS002398	lung_FEV1FVCzSMOKE.P+T.0.0001	FEV1/FVC ratio	12645	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002398/ScoringFiles/PGS002398.txt.gz
PGS002399	lung_FVCzSMOKE.P+T.0.0001	Forced vital capacity	9469	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002399/ScoringFiles/PGS002399.txt.gz
PGS002400	biochemistry_Glucose.P+T.0.0001	Glucose	3774	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002400/ScoringFiles/PGS002400.txt.gz
PGS002401	biochemistry_HDLcholesterol.P+T.0.0001	HDL cholesterol	15141	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002401/ScoringFiles/PGS002401.txt.gz
PGS002402	pigment_HAIR.P+T.0.0001	Hair color	18096	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002402/ScoringFiles/PGS002402.txt.gz
PGS002403	biochemistry_HbA1c.P+T.0.0001	HbA1c	11872	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002403/ScoringFiles/PGS002403.txt.gz
PGS002404	body_HEIGHTz.P+T.0.0001	Height	56984	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002404/ScoringFiles/PGS002404.txt.gz
PGS002405	blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT.P+T.0.0001	High light scatter reticulocyte count	16031	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002405/ScoringFiles/PGS002405.txt.gz
PGS002406	disease_HI_CHOL_SELF_REP.P+T.0.0001	High cholesterol	3246	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002406/ScoringFiles/PGS002406.txt.gz
PGS002407	disease_HYPERTENSION_DIAGNOSED.P+T.0.0001	Hypertension	6693	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002407/ScoringFiles/PGS002407.txt.gz
PGS002408	disease_HYPOTHYROIDISM_SELF_REP.P+T.0.0001	Hypothyroidism	4815	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002408/ScoringFiles/PGS002408.txt.gz
PGS002409	biochemistry_LDLdirect.P+T.0.0001	LDL cholesterol	7626	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002409/ScoringFiles/PGS002409.txt.gz
PGS002410	blood_LYMPHOCYTE_COUNT.P+T.0.0001	Lymphocyte count	14889	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002410/ScoringFiles/PGS002410.txt.gz
PGS002411	blood_MEAN_CORPUSCULAR_HEMOGLOBIN.P+T.0.0001	Mean corpuscular hemoglobin	22349	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002411/ScoringFiles/PGS002411.txt.gz
PGS002412	blood_MEAN_PLATELET_VOL.P+T.0.0001	Mean platelet volume	36285	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002412/ScoringFiles/PGS002412.txt.gz
PGS002413	blood_MONOCYTE_COUNT.P+T.0.0001	Monocyte count	17405	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002413/ScoringFiles/PGS002413.txt.gz
PGS002414	mental_NEUROTICISM.P+T.0.0001	Neuroticism	3578	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002414/ScoringFiles/PGS002414.txt.gz
PGS002415	blood_PLATELET_COUNT.P+T.0.0001	Platelet count	27345	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002415/ScoringFiles/PGS002415.txt.gz
PGS002416	disease_PSORIASIS.P+T.0.0001	Psoriasis	6879	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002416/ScoringFiles/PGS002416.txt.gz
PGS002417	blood_RED_COUNT.P+T.0.0001	Red blood cell count	18514	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002417/ScoringFiles/PGS002417.txt.gz
PGS002418	blood_RBC_DISTRIB_WIDTH.P+T.0.0001	Red blood cell distribution width	16996	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002418/ScoringFiles/PGS002418.txt.gz
PGS002419	disease_RESPIRATORY_ENT.P+T.0.0001	Respiratory and ear-nose-throat diseases	3299	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002419/ScoringFiles/PGS002419.txt.gz
PGS002420	cov_SMOKING_STATUS.P+T.0.0001	Smoking status	3874	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002420/ScoringFiles/PGS002420.txt.gz
PGS002421	bp_SYSTOLICadjMEDz.P+T.0.0001	Systolic blood pressure	11737	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002421/ScoringFiles/PGS002421.txt.gz
PGS002422	pigment_TANNING.P+T.0.0001	Tanning	8273	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002422/ScoringFiles/PGS002422.txt.gz
PGS002423	disease_THYROID_ANY_SELF_REP.P+T.0.0001	Thyroid (self-reported conditions)	4483	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002423/ScoringFiles/PGS002423.txt.gz
PGS002424	biochemistry_Cholesterol.P+T.0.0001	Total cholesterol	8526	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002424/ScoringFiles/PGS002424.txt.gz
PGS002425	biochemistry_Triglycerides.P+T.0.0001	Triglycerides	10135	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002425/ScoringFiles/PGS002425.txt.gz
PGS002426	disease_T2D.P+T.0.0001	Type 2 diabetes (T2D)	3947	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002426/ScoringFiles/PGS002426.txt.gz
PGS002427	biochemistry_VitaminD.P+T.0.0001	Vitamin D	4821	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002427/ScoringFiles/PGS002427.txt.gz
PGS002428	body_WHRadjBMIz.P+T.0.0001	Waist-hip ratio	9477	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002428/ScoringFiles/PGS002428.txt.gz
PGS002429	blood_WHITE_COUNT.P+T.0.0001	White blood cell count	13898	https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002429/ScoringFiles/PGS002429.txt.gz
