# E. coli K-12 conditional gene essentiality across 4 minimal media.
# Source: Orth et al. 2011, Mol Syst Biol 7:535 (iJO1366), Supplementary Table 1
#   'Results of the experimental growth phenotype screen'. doi:10.1038/msb.2011.65
# Licence: CC-BY (Molecular Systems Biology open access). Redistributed with attribution.
# Retrieved 2026-08-12 via Europe PMC supplementaryFiles API (PMC3261703).
# exp_* = EXPERIMENTAL essentiality (E/N). fba_* = the PAPER's own iJO1366 FBA prediction (E/N),
#   retained as a reproduction gate -- NOT a label.
gene_id	gene	exp_glucose_aerobic	exp_glucose_anaerobic	exp_lactate_aerobic	exp_succinate_aerobic	fba_glucose_aerobic	fba_glucose_anaerobic	fba_lactate_aerobic	fba_succinate_aerobic	conditionally_essential
b2221	atoD	N	N	N	N	N	N	N	N	NO
b2222	atoA	N	N	N	N	N	N	N	N	NO
b2241	glpA	N	N	N	N	N	N	N	N	NO
b2242	glpB	N	N	N	N	N	N	N	N	NO
b2243	glpC	N	N	N	N	N	N	N	N	NO
b2539	hcaF	N	N	N	N	N	N	N	N	NO
b2540	hcaC	N	N	N	N	N	N	N	N	NO
b2542	hcaD	N	N	N	N	N	N	N	N	NO
b2552	hmp	N	N	N	N	N	N	N	N	NO
b2705	srlD	N	N	N	N	N	N	N	N	NO
b2719	hycG	N	N	N	N	N	N	N	N	NO
b2720	hycF	N	N	N	N	N	N	N	N	NO
b2721	hycE	N	N	N	N	N	N	N	N	NO
b2917	yliK	N	N	N	N	N	N	N	N	NO
b2994	hybC	N	N	N	N	N	N	N	N	NO
b2997	hybO	N	N	N	N	N	N	N	N	NO
b3061	ttdA	N	N	N	N	N	N	N	N	NO
b3062	ttdB	N	N	N	N	N	N	N	N	NO
b3091	uxaA	N	N	N	N	N	N	N	N	NO
b3092	uxaC	N	N	N	N	N	N	N	N	NO
b3365	nirB	N	N	N	N	N	N	N	N	NO
b3366	nirD	N	N	N	N	N	N	N	N	NO
b3416	malQ	N	N	N	N	N	N	N	N	NO
b3425	glpE	N	N	N	N	N	N	N	N	NO
b3426	glpD	N	N	N	N	N	N	N	N	NO
b3428	glgP	N	N	N	N	N	N	N	N	NO
b3429	glgA	N	N	N	N	N	N	N	N	NO
b3431	glgX	N	N	N	N	N	N	N	N	NO
b3432	glgB	N	N	N	N	N	N	N	N	NO
b3519	treF	N	N	N	N	N	N	N	N	NO
b3564	xylB	N	N	N	N	N	N	N	N	NO
b3565	xylA	N	N	N	N	N	N	N	N	NO
b3571	malS	N	N	N	N	N	N	N	N	NO
b3580	lyxK	N	N	N	N	N	N	N	N	NO
b3600	mtlD	N	N	N	N	N	N	N	N	NO
b3610	grxC	N	N	N	N	N	N	N	N	NO
b3752	rbsK	N	N	N	N	N	N	N	N	NO
b3846	fadB	N	N	N	N	N	N	N	N	NO
b3892	fdoI	N	N	N	N	N	N	N	N	NO
